dimension,recall@1,recall@3,recall@5,recall@10,mrr,ndcg
256,0.5,0.75,1.0,1.0,0.6458333333333334,0.7326691395183482
256,0.5,0.75,1.0,1.0,0.6458333333333334,0.7326691395183482
256,0.5,0.75,1.0,1.0,0.6458333333333334,0.7326691395183482
256,0.5,0.75,1.0,1.0,0.6458333333333334,0.7326691395183482
128,0.5,0.75,1.0,1.0,0.6458333333333334,0.7326691395183482
